"RANK","HS CODE","PRODUCT DESCRIPTION","TOTAL EXPORTS (2007–2024)
(in thousands USD; raw)"
1,2709,"Petroleum oils and oils obtained from bituminous minerals; crude","20,542,473,200"
2,2710,"Petroleum oils and oils from bituminous minerals, not crude; preparations n.e.c. containing by weight 70% or more of petroleum oils or oils from bituminous minerals; these being the basic constituents of the preparations; waste oils","13,231,465,779"
3,8703,"Motor cars and other motor vehicles; principally designed for the transport of persons (other than those of heading no. 8702), including station wagons and racing cars","12,829,068,767"
4,8542,"Electronic integrated circuits","10,932,304,130"
5,8517,"Telephone sets, including telephones for cellular networks or for other wireless networks; other apparatus for the transmission or reception of voice, images or other data (including wired/wireless networks), excluding items of 8443, 8525, 8527, or 8528","9,244,115,160"
6,2711,"Petroleum gases and other gaseous hydrocarbons","6,972,692,058"
7,8708,"Motor vehicles; parts and accessories, of heading no. 8701 to 8705","6,552,536,390"
8,3004,"Medicaments; (not goods of heading no. 3002, 3005 or 3006) consisting of mixed or unmixed products for therapeutic or prophylactic use, put up in measured doses (incl. those in the form of transdermal admin. systems) or packed for retail sale","6,494,381,980"
9,8471,"Automatic data processing machines and units thereof, magnetic or optical readers, machines for transcribing data onto data media in coded form and machines for processing such data, not elsewhere specified or included","6,398,462,214"
10,7108,"Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form","6,355,836,533"
11,3002,"Blood, human or animal; for therapeutic, prophylactic or diagnostic uses; antisera, other blood fractions, modified immunological products, (from biotechnological processes or not); vaccines, toxins, micro-organism cultures (not yeasts), similar products","3,010,298,256"
12,8802,"Aircraft n.e.c. in heading no. 8801 (e.g. helicopters, aeroplanes); spacecraft (including satellites) and suborbital and spacecraft launch vehicles","2,739,918,176"
13,8411,"Turbo-jets, turbo-propellers and other gas turbines","2,491,220,177"
14,2701,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal","2,486,587,964"
15,8704,"Vehicles; for the transport of goods","2,461,769,148"
