"RANK";"PRODUCT CODE";"PRODUCT DESCRIPTION";"RCA";"PCI";"RELATEDNESS DENSITY";"OPPORTUNITY GAIN (Z-SCORE)";"PGI (Z-SCORE)";"ECONOMIC BENEFIT SCORE"
1;8605;"Railway or tramway coaches; passenger coaches, luggage vans, post office coaches and other special purpose railway or tramway coaches, not self-propelled (excluding those of heading no. 8604)";0,0292307106608605;0,794566070411241;0,142350505995813;1,03948778004492;-2,45745112914173;1,0507922241376
2;3908;"Polyamides in primary forms";0,0102012379613918;1,56085532960011;0,130151745912621;1,66656756752366;-2,05966138431833;1,0175889321297
3;3002;"Blood, human or animal; for therapeutic, prophylactic or diagnostic uses; antisera, other blood fractions, modified immunological products, (from biotechnological processes or not); vaccines, toxins, micro-organism cultures (not yeasts), similar products";0,0225686519274095;1,56445781411057;0,13004628887232;1,82822093658668;-1,49469280334714;0,882202759377735
4;3911;"Petroleum resins, coumarone-indene resins, polyterpenes, polysulphides, polysulphones and similar products of chemical synthesis n.e.c. in chapter 39, in primary forms";0,0343183495653193;1,38463398042871;0,124413362773405;1,84882328591869;-1,50854041332984;0,843061564219828
5;7220;"Stainless steel; flat-rolled products of width less than 600mm";0,363429192658133;1,55958427731328;0,13029876639523;1,94825832353383;-1,23930026153582;0,839353453033928
6;2910;"Epoxides, epoxyalcohols, epoxyphenols and epoxyethers; with a three-membered ring and their halogenated, sulphonated, nitrated or nitrosated derivatives";0,016176713918562;1,69258130589672;0,125546249935075;1,75500833180416;-1,55065715496185;0,836010366838601
7;8208;"Knives and cutting blades, for machines or for mechanical appliances";0,337228131272504;1,5145869231904;0,127777572793618;1,952795756685;-1,19905215402438;0,804791297786227
8;8439;"Machinery; for making pulp of fibrous cellulosic material, or for making or finishing paper or paperboard";0,0302986523113241;1,51690202701298;0,12078675467438;1,62018300295377;-1,71125052620438;0,801824940650241
9;8202;"Tools, hand; blades for saws of all kinds (including slitting, slotting or toothless blades)";0,210375717151816;1,70338512326378;0,106881694764852;1,78155377932432;-1,92123395676559;0,80064142699993
10;7225;"Alloy steel flat-rolled products, of a width 600mm or more";0,0288430011323553;1,38862301172028;0,130653963705603;1,79127773300854;-1,26715508542898;0,79950377784122
11;3403;"Lubricating preparations and those used in oil or grease treatment of textile and similar materials; excluding preparations containing 70% or more (by weight) of petroleum or bituminous mineral oils";0,306282446147854;1,28943557362485;0,140448373428791;1,62083724427486;-1,12436152052599;0,783117235147692
12;7223;"Stainless steel wire";0,094464702570935;2,03745069062381;0,113561638041201;2,25215265508562;-1,09865680856936;0,74334965621722
13;4806;"Vegetable parchment, greaseproof papers, tracing papers, glassine and other glazed transparent or translucent papers, in rolls or sheets";0,0742369980292298;1,29821622832021;0,120532252714376;1,41122800000589;-1,73222541294141;0,736877629180156
14;8515;"Electric (electrically heated gas) soldering, brazing, welding machines and apparatus, capable or not of cutting, electric machines and apparatus for hot spraying of metals or sintered carbides";0,308720919431056;1,61658468003721;0,124374357291872;1,94458218892239;-1,09236626455187;0,735905930282223
15;8401;"Nuclear reactors; fuel elements (cartridges), non-irradiated, for nuclear reactors, machinery and apparatus for isotopic separation";0,00708602744901055;1,06433258540529;0,134705122738571;1,2646124342127;-1,47077897783258;0,728232087952812
16;3810;"Metal-pickling preparations; fluxes etc for soldering, brazing; welding powders, pastes of metal and other materials; preparations used as cores or coatings for welding electrodes or rods";0,311361258713532;2,01582376979526;0,109964961151733;2,21459287723333;-1,16982773237478;0,722229137257749
